seq,ts_code,symbol,name,area,industry,market,list_date
2651,301218.SZ,301218,华是科技,浙江,软件服务,创业板,20220307
2652,301219.SZ,301219,腾远钴业,江西,小金属,创业板,20220317
2653,301220.SZ,301220,亚香股份,江苏,化工原料,创业板,20220622
2654,301221.SZ,301221,光庭信息,湖北,软件服务,创业板,20211222
2655,301222.SZ,301222,浙江恒威,浙江,电气设备,创业板,20220309
2656,301223.SZ,301223,中荣股份,广东,广告包装,创业板,20221026
2657,301226.SZ,301226,祥明智能,江苏,电气设备,创业板,20220325
2658,301227.SZ,301227,森鹰窗业,黑龙江,其他建材,创业板,20220926
2659,301228.SZ,301228,实朴检测,上海,电器仪表,创业板,20220128
2660,301229.SZ,301229,纽泰格,江苏,汽车配件,创业板,20220222
2661,301230.SZ,301230,泓博医药,上海,生物制药,创业板,20221101
2662,301231.SZ,301231,荣信文化,陕西,出版业,创业板,20220908
2663,301233.SZ,301233,盛帮股份,四川,汽车配件,创业板,20220706
2664,301234.SZ,301234,五洲医疗,安徽,医疗保健,创业板,20220705
2665,301235.SZ,301235,华康医疗,湖北,医疗保健,创业板,20220128
2666,301236.SZ,301236,软通动力,北京,软件服务,创业板,20220315
2667,301237.SZ,301237,和顺科技,浙江,塑料,创业板,20220323
2668,301238.SZ,301238,瑞泰新材,江苏,化工原料,创业板,20220617
2669,301239.SZ,301239,普瑞眼科,四川,医疗保健,创业板,20220705
2670,301248.SZ,301248,杰创智能,广东,软件服务,创业板,20220420
2671,301255.SZ,301255,通力科技,浙江,机械基件,创业板,20221227
2672,301256.SZ,301256,华融化学,四川,化工原料,创业板,20220322
2673,301257.SZ,301257,普蕊斯,上海,医疗保健,创业板,20220517
2674,301258.SZ,301258,富士莱,江苏,化学制药,创业板,20220329
2675,301259.SZ,301259,艾布鲁,湖南,环境保护,创业板,20220426
2676,301260.SZ,301260,格力博,江苏,专用机械,创业板,20230208
2677,301263.SZ,301263,泰恩康,广东,医药商业,创业板,20220329
2678,301265.SZ,301265,华新环保,北京,环境保护,创业板,20221216
2679,301266.SZ,301266,宇邦新材,江苏,电气设备,创业板,20220608
2680,301267.SZ,301267,华厦眼科,福建,医疗保健,创业板,20221107
2681,301268.SZ,301268,铭利达,深圳,机械基件,创业板,20220407
2682,301269.SZ,301269,华大九天,北京,半导体,创业板,20220729
2683,301270.SZ,301270,汉仪股份,北京,软件服务,创业板,20220831
2684,301273.SZ,301273,瑞晨环保,上海,机械基件,创业板,20221025
2685,301276.SZ,301276,嘉曼服饰,北京,服饰,创业板,20220909
2686,301277.SZ,301277,新天地,河南,化学制药,创业板,20221116
