trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20190627,000026.SZ,7.1152,7.178,7.0523,7.0613,7.0703,-0.008999999999999453,-0.1273,34232.59,27077.043
20190628,000026.SZ,7.0972,7.0972,6.9088,6.9716,7.0613,-0.08970000000000056,-1.2703,27456.0,21329.605
20190701,000026.SZ,7.0703,7.1241,7.0165,7.1152,6.9716,0.14360000000000017,2.0598,32123.96,25364.329
20190702,000026.SZ,7.0882,7.151,7.0793,7.1152,7.1152,0.0,0.0,24072.38,19099.681
20190703,000026.SZ,7.1241,7.1241,6.9806,7.0344,7.1152,-0.08079999999999998,-1.1356,30705.71,24065.715
20190704,000026.SZ,6.9985,7.0703,6.9985,7.0703,7.0344,0.03589999999999982,0.5103,27945.5,21950.788
20190705,000026.SZ,7.0703,7.1241,6.9716,7.1062,7.0703,0.03590000000000071,0.5078,34733.0,27238.275
20190708,000026.SZ,7.0882,7.0882,6.7832,6.828,7.1062,-0.2782,-3.9149,43797.0,33621.32
20190709,000026.SZ,6.828,6.846,6.7114,6.8101,6.828,-0.017900000000000027,-0.2622,35983.08,27184.144
20190710,000026.SZ,6.7742,6.828,6.7652,6.7832,6.8101,-0.026900000000000368,-0.395,16635.68,12599.18
20190711,000026.SZ,6.7921,6.8639,6.7832,6.846,6.7832,0.06280000000000019,0.9258,27534.0,20972.09
20190712,000026.SZ,6.8639,6.8998,6.837,6.8819,6.846,0.03589999999999982,0.5244,20844.54,15979.625
20190715,000026.SZ,6.8908,6.9357,6.7832,6.8998,6.8819,0.017900000000000027,0.2601,21925.01,16803.995
20190716,000026.SZ,6.8908,7.0344,6.8729,6.9536,6.8998,0.05379999999999985,0.7797,41015.81,31851.915
20190717,000026.SZ,6.9536,6.9626,6.8819,6.8908,6.9536,-0.06280000000000019,-0.9031,25895.44,19957.517
20190718,000026.SZ,6.8908,6.8908,6.8011,6.837,6.8908,-0.05379999999999985,-0.7808,18690.01,14238.845
20190719,000026.SZ,6.846,6.9357,6.828,6.8998,6.837,0.06280000000000019,0.9185,21009.75,16122.111
20190722,000026.SZ,6.8998,6.8998,6.6934,6.7563,6.8998,-0.14349999999999952,-2.0798,29169.67,21972.072
20190723,000026.SZ,6.7921,6.7921,6.7204,6.7563,6.7563,0.0,0.0,19667.23,14787.295
20190724,000026.SZ,6.7652,6.846,6.7652,6.8011,6.7563,0.04479999999999951,0.6631,20481.24,15540.149
20190725,000026.SZ,6.8011,6.837,6.7742,6.8191,6.8011,0.017999999999999794,0.2647,15341.23,11634.528
20190726,000026.SZ,6.7832,6.8101,6.7473,6.8011,6.8191,-0.017999999999999794,-0.264,14506.43,10959.612
20190729,000026.SZ,6.7563,6.7921,6.6845,6.7204,6.8011,-0.08070000000000022,-1.1866,27121.8,20340.024
20190730,000026.SZ,6.7293,6.7652,6.7114,6.7204,6.7204,0.0,0.0,24806.64,18612.872
20190731,000026.SZ,6.7024,6.7204,6.6127,6.6217,6.7204,-0.09870000000000001,-1.4687,29001.3,21482.282
20190801,000026.SZ,6.5948,6.6576,6.5589,6.6576,6.6217,0.03590000000000071,0.5422,26552.9,19539.369
20190802,000026.SZ,6.5409,6.5589,6.4602,6.4781,6.6576,-0.1795,-2.6962,31908.3,23138.968
20190805,000026.SZ,6.4691,6.4781,6.2628,6.3076,6.4781,-0.17050000000000054,-2.6319,32881.0,23386.44
20190806,000026.SZ,6.2628,6.4063,6.2179,6.2807,6.3076,-0.02689999999999948,-0.4265,39635.26,27759.086
20190807,000026.SZ,6.3166,6.3794,6.2628,6.2717,6.2807,-0.009000000000000341,-0.1433,20337.0,14266.521
20190808,000026.SZ,6.2987,6.3346,6.2807,6.2987,6.2717,0.027000000000000135,0.4305,15546.17,10935.988
20190809,000026.SZ,6.3076,6.3525,6.2179,6.2717,6.2987,-0.027000000000000135,-0.4287,24580.46,17228.88
20190812,000026.SZ,6.2721,6.3737,6.2259,6.3737,6.2721,0.10160000000000036,1.6199,25085.34,17101.635
20190813,000026.SZ,6.3367,6.4753,6.3182,6.4476,6.3737,0.07390000000000008,1.1595,34818.73,24207.52
20190814,000026.SZ,6.4938,6.503,6.4199,6.4291,6.4476,-0.018500000000000405,-0.2869,16481.7,11526.962
20190815,000026.SZ,6.3644,6.5399,6.2998,6.5215,6.4291,0.0923999999999996,1.4372,27512.01,19257.541
